CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
NARCOTICS,12/16/2015 03:56:00 PM,15-066457,POSSESS NARCOTIC CONTROLLED SUBSTANCE,05Y,1400 15TH ST,Oakland,CA,"1400 15TH ST
Oakland, CA
(37.811642, -122.291665)"
ROBBERY,12/14/2015 06:45:00 PM,15-066179,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",10X,1100 62ND ST,Oakland,CA,"1100 62ND ST
Oakland, CA
(37.845278, -122.282712)"
BURG - RESIDENTIAL,12/14/2015 12:39:00 PM,15-066060,BURGLARY-FORCIBLE ENTRY,32X,10600 ROYAL ANN ST,Oakland,CA,"10600 ROYAL ANN ST
Oakland, CA
(37.736639, -122.170253)"
FELONY ASSAULT,12/14/2015 11:35:00 AM,15-066035,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,07X,2300 SAN PABLO AV,Oakland,CA,"2300 SAN PABLO AV
Oakland, CA
(37.8135, -122.27416)"
FELONY ASSAULT,12/13/2015 11:33:00 PM,15-065980,ASSAULT WITH FIREARM ON PERSON,26Y,1200 65TH AV,Oakland,CA,"1200 65TH AV
Oakland, CA
(37.761683, -122.196239)"
ROBBERY,12/15/2015 12:01:00 AM,15-066156,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02X,900 KIRKHAM WY,Oakland,CA,"900 KIRKHAM WY
Oakland, CA
(37.807156, -122.291531)"
BURG - AUTO,12/14/2015 08:30:00 PM,15-066150,BURGLARY-AUTO,03X,100 14TH ST,Oakland,CA,"100 14TH ST
Oakland, CA
(37.801066, -122.26288)"
STOLEN VEHICLE,12/14/2015 08:00:00 AM,15-066229,VEHICLE THEFT - AUTO,04X,500 16TH ST,Oakland,CA,"500 16TH ST
Oakland, CA
(37.806119, -122.270459)"
BURG - RESIDENTIAL,12/14/2015 11:30:00 AM,15-066044,BURGLARY-FORCIBLE ENTRY,35Y,00 DONNA WY,Oakland,CA,"00 DONNA WY
Oakland, CA
"
PROSTITUTION,12/16/2015 04:48:00 PM,15-066462,LOITER:INTENT:PROSTITUTION,19X,1400 20TH AV,Oakland,CA,"1400 20TH AV
Oakland, CA
(37.785811, -122.23999)"
DOMESTIC VIOLENCE,12/14/2015 07:31:00 PM,15-066117,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,29X,3300 66TH AV,Oakland,CA,"3300 66TH AV
Oakland, CA
(37.772689, -122.177804)"
DISORDERLY CONDUCT,12/16/2015 11:30:00 PM,15-066524,OFFENSIVE WORDS IN PUBLIC PLACE,04X,200 14TH ST,Oakland,CA,"200 14TH ST
Oakland, CA
(37.801984, -122.265237)"
STOLEN VEHICLE,12/15/2015 08:00:00 AM,15-066267,VEHICLE THEFT - AUTO,20X,1400 MITCHELL ST,Oakland,CA,"1400 MITCHELL ST
Oakland, CA
(37.780355, -122.230771)"
MISDEMEANOR ASSAULT,12/17/2015 12:10:00 AM,15-066533,BATTERY,30X,1400 71ST AV,Oakland,CA,"1400 71ST AV
Oakland, CA
(37.760629, -122.188341)"
PETTY THEFT,12/15/2015 10:08:00 AM,15-066194,VANDALISM,30X,2000 CHURCH ST,Oakland,CA,"2000 CHURCH ST
Oakland, CA
(37.764303, -122.185514)"
BURG - AUTO,11/30/2015 09:30:00 AM,15-916552,BURGLARY-AUTO,31X,600 HEGENBERGER RD,Oakland,CA,"600 HEGENBERGER RD
Oakland, CA
(37.744964, -122.195947)"
STOLEN VEHICLE,12/16/2015 11:30:00 PM,15-066353,VEHICLE THEFT - AUTO,34X,1400 89TH AV,Oakland,CA,"1400 89TH AV
Oakland, CA
(37.750399, -122.174761)"
PETTY THEFT,12/15/2015 11:26:00 AM,15-066214,THEFT,32X,1000 104TH AV,Oakland,CA,"1000 104TH AV
Oakland, CA
(37.737034, -122.173155)"
STOLEN VEHICLE,12/14/2015 05:00:00 PM,15-066206,VEHICLE THEFT - AUTO,24X,3500 GRAY ST,Oakland,CA,"3500 GRAY ST
Oakland, CA
(37.785112, -122.215274)"
FELONY ASSAULT,12/16/2015 08:00:00 AM,15-066366,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,10X,5500 FREMONT ST,Oakland,CA,"5500 FREMONT ST
Oakland, CA
(37.838205, -122.284082)"
MISDEMEANOR ASSAULT,12/14/2015 10:00:00 PM,15-066142,BATTERY,19X,1200 8TH AV,Oakland,CA,"1200 8TH AV
Oakland, CA
(37.792894, -122.252271)"
STOLEN VEHICLE,12/14/2015 12:01:00 AM,15-066256,VEHICLE THEFT - AUTO,33X,8400 AMELIA ST,Oakland,CA,"8400 AMELIA ST
Oakland, CA
(37.74936, -122.186884)"
PROSTITUTION,12/16/2015 05:09:00 PM,15-066469,LOITER:INTENT:PROSTITUTION,19X,1500 INTERNATIONAL BLVD,Oakland,CA,"1500 INTERNATIONAL BLVD
Oakland, CA
(37.788928, -122.245171)"
MISDEMEANOR ASSAULT,12/14/2015 06:30:00 PM,15-066108,BATTERY W/SERIOUS BODILY INJURY,33X,9700 D ST,Oakland,CA,"9700 D ST
Oakland, CA
(37.74259, -122.176154)"
DOMESTIC VIOLENCE,12/15/2015 10:55:00 PM,15-066331,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,700 W MACARTHUR BLVD,Oakland,CA,"700 W MACARTHUR BLVD
Oakland, CA
(37.827475, -122.27061)"
STOLEN VEHICLE,12/16/2015 06:00:00 PM,15-066529,VEHICLE THEFT - AUTO,33X,1300 82ND AV,Oakland,CA,"1300 82ND AV
Oakland, CA
(37.754675, -122.180603)"
BURG - OTHER,12/14/2015 12:30:00 PM,15-066152,BURGLARY-FORCIBLE ENTRY,22Y,4200 NORTON AV,Oakland,CA,"4200 NORTON AV
Oakland, CA
(37.800771, -122.195394)"
VANDALISM,12/16/2015 05:28:00 PM,15-066505,VANDALISM,05X,700 22ND ST,Oakland,CA,"700 22ND ST
Oakland, CA
(37.81172, -122.272877)"
STOLEN VEHICLE,12/16/2015 12:30:00 AM,15-066468,VEHICLE THEFT - AUTO,02Y,1600 8TH ST,Oakland,CA,"1600 8TH ST
Oakland, CA
(37.807041, -122.297515)"
PETTY THEFT,12/05/2015 11:10:00 AM,15-916559,THEFT,25X,4400 MOUNTAIN VIEW AV,Oakland,CA,"4400 MOUNTAIN VIEW AV
Oakland, CA
(37.785306, -122.173904)"
STOLEN VEHICLE,12/12/2015 11:00:00 PM,15-066077,VEHICLE THEFT - AUTO,13Z,00 LODGE CT,Oakland,CA,"00 LODGE CT
Oakland, CA
"
PROSTITUTION,12/15/2015 05:05:00 PM,15-066277,LOITER:INTENT:PROSTITUTION,19X,1400 19TH AV,Oakland,CA,"1400 19TH AV
Oakland, CA
(37.786451, -122.241035)"
PETTY THEFT,12/06/2015 11:07:00 PM,15-064697,VANDALISM-$400+,04X,1500 HARRISON ST,Oakland,CA,"1500 HARRISON ST
Oakland, CA
(37.803976, -122.26694)"
FELONY ASSAULT,12/16/2015 12:30:00 AM,15-066387,EXHIBIT FIREARM,27Y,1400 61ST AV,Oakland,CA,"1400 61ST AV
Oakland, CA
(37.764665, -122.198189)"
ROBBERY,12/12/2015 05:00:00 AM,15-066364,ROBBERY-FIREARM,32X,9800 INTERNATIONAL BLVD,Oakland,CA,"9800 INTERNATIONAL BLVD
Oakland, CA
(37.744112, -122.170236)"
STOLEN VEHICLE,12/16/2015 07:00:00 PM,15-066517,VEHICLE THEFT - AUTO,07X,2800 CHESTNUT ST,Oakland,CA,"2800 CHESTNUT ST
Oakland, CA
(37.820374, -122.281044)"
NARCOTICS,12/16/2015 05:30:00 PM,15-066461,SELL/FURNISH/ETC MARIJUANA/HASHISH,03X,400 14TH ST,Oakland,CA,"400 14TH ST
Oakland, CA
(37.803843, -122.269973)"
BURG - AUTO,11/29/2015 05:50:00 PM,15-916568,BURGLARY-AUTO,23X,3900 ALAMEDA AV,Oakland,CA,"3900 ALAMEDA AV
Oakland, CA
(37.768216, -122.224315)"
NARCOTICS,12/10/2015 05:15:00 PM,15-065382,SELL/FURNISH/ETC MARIJUANA/HASHISH,02Y,1400 13TH ST,Oakland,CA,"1400 13TH ST
Oakland, CA
(37.809897, -122.292006)"
STOLEN VEHICLE,12/13/2015 11:00:00 PM,15-066088,VEHICLE THEFT - AUTO,17X,1000 E 20TH ST,Oakland,CA,"1000 E 20TH ST
Oakland, CA
(37.795891, -122.24399)"
BURG - RESIDENTIAL,12/16/2015 08:00:00 AM,15-066511,BURGLARY-FORCIBLE ENTRY,30X,1500 76TH AV,Oakland,CA,"1500 76TH AV
Oakland, CA
(37.759645, -122.18268)"
PETTY THEFT,12/15/2015 01:43:00 PM,15-066238,THEFT,35X,8800 THERMAL ST,Oakland,CA,"8800 THERMAL ST
Oakland, CA
(37.757314, -122.160815)"
BURG - RESIDENTIAL,12/14/2015 05:30:00 PM,15-066304,BURGLARY-FORCIBLE ENTRY,13X,00 STARK KNOLL PL,Oakland,CA,"00 STARK KNOLL PL
Oakland, CA
"
BURG - RESIDENTIAL,12/15/2015 11:00:00 AM,15-066347,BURGLARY-FORCIBLE ENTRY,31Y,9800 HESKET RD,Oakland,CA,"9800 HESKET RD
Oakland, CA
(37.730852, -122.18893)"
MISDEMEANOR ASSAULT,12/16/2015 09:43:00 AM,15-066397,BATTERY,20X,1500 29TH AV,Oakland,CA,"1500 29TH AV
Oakland, CA
(37.780282, -122.228169)"
PETTY THEFT,12/15/2015 12:58:00 PM,15-066231,VANDALISM,05Y,1400 16TH ST,Oakland,CA,"1400 16TH ST
Oakland, CA
(37.81232, -122.291168)"
PETTY THEFT,12/16/2015 11:59:00 AM,15-066406,VANDALISM,07X,2800 CHESTNUT ST,Oakland,CA,"2800 CHESTNUT ST
Oakland, CA
(37.820374, -122.281044)"
BURG - RESIDENTIAL,12/09/2015 05:00:00 PM,15-065426,BURGLARY-NO FORCE,35X,9400 HILLSIDE ST,Oakland,CA,"9400 HILLSIDE ST
Oakland, CA
(37.752201, -122.161904)"
VANDALISM,12/04/2015 07:05:00 PM,15-916557,VANDALISM,77X,600 72ND AV,Oakland,CA,"600 72ND AV
Oakland, CA
"
PROSTITUTION,12/16/2015 04:46:00 PM,15-066466,LOITER:INTENT:PROSTITUTION,20X,1400 24TH AV,Oakland,CA,"1400 24TH AV
Oakland, CA
(37.782563, -122.234391)"
BURG - COMMERCIAL,12/17/2015 03:39:00 PM,15-066644,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,23X,4000 ALAMEDA AV,Oakland,CA,"4000 ALAMEDA AV
Oakland, CA
(37.768201, -122.223528)"
STOLEN VEHICLE,12/17/2015 04:00:00 PM,15-066713,VEHICLE THEFT - AUTO,15X,200 ACTON PL,Oakland,CA,"200 ACTON PL
Oakland, CA
(37.800885, -122.251962)"
BURG - RESIDENTIAL,12/17/2015 03:11:00 AM,15-066538,BURGLARY-FORCIBLE ENTRY,24Y,2800 HUMBOLDT AV,Oakland,CA,"2800 HUMBOLDT AV
Oakland, CA
(37.790982, -122.208578)"
WEAPONS,12/17/2015 09:06:00 AM,15-066570,TEAR GAS WEAPON VIOLATION (AMENDED),26Y,1100 61ST AV,Oakland,CA,"1100 61ST AV
Oakland, CA
(37.760823, -122.203048)"
OTHER,12/11/2015 04:03:00 PM,15-065595,DISORDERLY CONDUCT:LODGE WITHOUT CONSENT,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
STOLEN VEHICLE,12/14/2015 07:18:00 AM,15-065998,ATTEMPT VEHICLE THEFT-AUTO,30X,1400 81ST AV,Oakland,CA,"1400 81ST AV
Oakland, CA
(37.756141, -122.180557)"
RECOVERED O/S STOLEN,12/17/2015 10:19:00 AM,15-066573,VEHICLE THEFT - AUTO,26Y,5900 TEVIS ST,Oakland,CA,"5900 TEVIS ST
Oakland, CA
(37.762836, -122.202756)"
ROBBERY,12/16/2015 02:04:00 AM,15-066342,ROBBERY-FIREARM,06X,2300 SAN PABLO AV,Oakland,CA,"2300 SAN PABLO AV
Oakland, CA
(37.8135, -122.27416)"
STOLEN VEHICLE,12/17/2015 08:30:00 PM,15-066700,VEHICLE THEFT - AUTO,31Y,300 BURLWOOD AV,Oakland,CA,"300 BURLWOOD AV
Oakland, CA
(37.733771, -122.188359)"
BURG - RESIDENTIAL,12/03/2015 05:36:00 PM,15-064154,BURGLARY-FORCIBLE ENTRY,09X,4400 VIEW ST,Oakland,CA,"4400 VIEW ST
Oakland, CA
(37.831659, -122.250353)"
OTHER,12/13/2015 07:49:00 PM,15-065955,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",26X,900 BLK OF HIGH ST.,Oakland,CA,"900 BLK OF HIGH ST.
Oakland, CA
"
THREATS,12/18/2015 04:30:00 AM,15-066721,THREAT CRIME:INT:TERRORIZE,02Y,500 CHESTER ST,Oakland,CA,"500 CHESTER ST
Oakland, CA
(37.804759, -122.296301)"
BURG - AUTO,12/17/2015 06:45:00 AM,15-066543,BURGLARY-AUTO,19X,1200 EMBARCADERO,Oakland,CA,"1200 EMBARCADERO
Oakland, CA
(37.78784, -122.250289)"
RECOVERED O/S STOLEN,12/17/2015 09:00:00 AM,15-066562,VEHICLE THEFT - AUTO,26Y,1000 75TH AV,Oakland,CA,"1000 75TH AV
Oakland, CA
(37.754803, -122.191374)"
DOMESTIC VIOLENCE,12/17/2015 08:57:00 PM,15-066686,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,35Y,4700 STACEY ST,Oakland,CA,"4700 STACEY ST
Oakland, CA
(37.754474, -122.126331)"
ROBBERY,12/16/2015 12:00:00 AM,15-066637,ROBBERY-KNIFE OR CUTTING INSTRUMENT,35X,4700 STACY ST,Oakland,CA,"4700 STACY ST
Oakland, CA
(37.754474, -122.126331)"
RECOVERED O/S STOLEN,12/17/2015 02:40:00 AM,15-066537,VEHICLE THEFT - AUTO,25X,4800 DAISY ST,Oakland,CA,"4800 DAISY ST
Oakland, CA
(37.784811, -122.18499)"
VANDALISM,12/15/2015 03:00:00 AM,15-066390,"VANDALISM [$400 TO $5,000]",32X,900 BLENHEIM ST,Oakland,CA,"900 BLENHEIM ST
Oakland, CA
(37.734047, -122.172745)"
STOLEN VEHICLE,12/17/2015 12:00:00 AM,15-066544,VEHICLE THEFT - AUTO,19X,1500 E 15TH ST,Oakland,CA,"1500 E 15TH ST
Oakland, CA
(37.789545, -122.244038)"
MISDEMEANOR ASSAULT,12/14/2015 06:30:00 PM,15-066363,BATTERY,24Y,2700 HUMBOLDT AV,Oakland,CA,"2700 HUMBOLDT AV
Oakland, CA
(37.790486, -122.209766)"
PETTY THEFT,12/07/2015 11:00:00 PM,15-066241,THEFT,06X,2600 MARTIN LUTHER KING JR W,Oakland,CA,"2600 MARTIN LUTHER KING JR W
Oakland, CA
"
OTHER,12/16/2015 08:14:00 PM,15-066502,POSSESS CONTROLLED SUBSTANCE,29X,7000 LACEY AV,Oakland,CA,"7000 LACEY AV
Oakland, CA
(37.771035, -122.173092)"
OTHER,12/10/2015 12:00:00 AM,15-065314,ILLEGALLY POSSESS ANY ASSUALT WEAPON,12Y,5900 TELEGRAPH AV,Oakland,CA,"5900 TELEGRAPH AV
Oakland, CA
(37.845283, -122.261197)"
STOLEN VEHICLE,12/13/2015 07:31:00 PM,15-065993,VEHICLE THEFT - AUTO,28X,2900 MADERA AV,Oakland,CA,"2900 MADERA AV
Oakland, CA
(37.777968, -122.193402)"
STOLEN VEHICLE,12/13/2015 07:30:00 PM,15-066022,VEHICLE THEFT - AUTO,02Y,1000 PERALTA ST,Oakland,CA,"1000 PERALTA ST
Oakland, CA
(37.808422, -122.296281)"
PROSTITUTION,12/16/2015 05:58:00 PM,15-066477,LOITER:INTENT:PROSTITUTION,20X,1400 MILLER AV,Oakland,CA,"1400 MILLER AV
Oakland, CA
(37.78274, -122.234878)"
DOMESTIC VIOLENCE,12/17/2015 03:03:00 PM,15-066638,BATTERY (AMENDED),29X,6600 MACARTHUR BLVD,Oakland,CA,"6600 MACARTHUR BLVD
Oakland, CA
(37.772591, -122.177957)"
STOLEN VEHICLE,12/16/2015 10:00:00 PM,15-066600,VEHICLE THEFT - AUTO,17Y,1000 E28TH ST,Oakland,CA,"1000 E28TH ST
Oakland, CA
"
PETTY THEFT,12/16/2015 04:15:00 PM,15-066460,THEFT,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774583, -122.231382)"
STOLEN VEHICLE,12/12/2015 02:00:00 PM,15-066268,VEHICLE THEFT - AUTO,07X,2400 FILBERT ST,Oakland,CA,"2400 FILBERT ST
Oakland, CA
(37.816939, -122.28004)"
MISDEMEANOR ASSAULT,12/15/2015 12:00:00 AM,15-066431,DISTURB THE PEACE,22Y,3200 DELAWARE ST,Oakland,CA,"3200 DELAWARE ST
Oakland, CA
(37.794183, -122.204536)"
STOLEN VEHICLE,12/17/2015 10:00:00 PM,15-066732,VEHICLE THEFT - AUTO,34X,1400 89TH AVE,Oakland,CA,"1400 89TH AVE
Oakland, CA
(37.750399, -122.174761)"
BURG - RESIDENTIAL,12/18/2015 05:30:00 AM,15-066774,BURGLARY-FORCIBLE ENTRY,22Y,3200 BUTTERS DR,Oakland,CA,"3200 BUTTERS DR
Oakland, CA
(37.806832, -122.187512)"
STOLEN VEHICLE,12/16/2015 01:15:00 PM,15-066439,VEHICLE THEFT - AUTO,29X,6400 SUNNYMERE,Oakland,CA,"6400 SUNNYMERE
Oakland, CA
(37.77868, -122.170937)"
DOMESTIC VIOLENCE,12/17/2015 08:21:00 PM,15-066696,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,2400 MARTIN LUTHER KING JR W,Oakland,CA,"2400 MARTIN LUTHER KING JR W
Oakland, CA
"
RECOVERED O/S STOLEN,12/16/2015 11:39:00 AM,15-066400,VEHICLE THEFT - AUTO,27X,2200 VICKSBURG AV,Oakland,CA,"2200 VICKSBURG AV
Oakland, CA
(37.776413, -122.203498)"
DOMESTIC VIOLENCE,12/16/2015 07:30:00 AM,15-066593,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,3000 18TH ST,Oakland,CA,"3000 18TH ST
Oakland, CA
(37.782258, -122.224467)"
ARSON,12/16/2015 06:45:00 AM,15-066354,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,05Y,1600 WOOD ST,Oakland,CA,"1600 WOOD ST
Oakland, CA
(37.814932, -122.296513)"
MISDEMEANOR ASSAULT,12/17/2015 10:05:00 AM,15-066581,THREAT CRIME:INT:TERRORIZE,04X,500 16TH ST,Oakland,CA,"500 16TH ST
Oakland, CA
(37.806119, -122.270459)"
STOLEN VEHICLE,12/17/2015 12:00:00 AM,15-066636,VEHICLE THEFT - AUTO,02Y,1700 9TH ST,Oakland,CA,"1700 9TH ST
Oakland, CA
(37.808982, -122.299576)"
PROSTITUTION,12/15/2015 05:50:00 PM,15-066287,LOITER:INTENT:PROSTITUTION,20X,1400 DERBY AV,Oakland,CA,"1400 DERBY AV
Oakland, CA
(37.77873, -122.227177)"
RECOVERED O/S STOLEN,12/17/2015 02:00:00 PM,15-066621,VEHICLE THEFT - AUTO,08X,3700 SHAFTER AV,Oakland,CA,"3700 SHAFTER AV
Oakland, CA
(37.825055, -122.260535)"
MISDEMEANOR ASSAULT,12/18/2015 07:13:00 AM,15-066725,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,21Y,2900 23RD ST,Oakland,CA,"2900 23RD ST
Oakland, CA
(37.785936, -122.222941)"
STOLEN VEHICLE,12/16/2015 10:00:00 PM,15-066607,VEHICLE THEFT - AUTO,34X,00,Oakland,CA,"00
Oakland, CA
"
STOLEN VEHICLE,12/16/2015 11:00:00 AM,15-066443,VEHICLE THEFT - AUTO,26X,5400 COLISEUM WY,Oakland,CA,"5400 COLISEUM WY
Oakland, CA
(37.762789, -122.212526)"
STOLEN VEHICLE,12/17/2015 07:30:00 PM,15-066740,VEHICLE THEFT - AUTO,19X,1800 EMBARCADERO,Oakland,CA,"1800 EMBARCADERO
Oakland, CA
(37.78525, -122.244654)"
FRAUD,12/05/2015 01:10:00 PM,15-916571,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,02Y,1600 11TH ST,Oakland,CA,"1600 11TH ST
Oakland, CA
(37.809194, -122.295674)"
BURG - RESIDENTIAL,12/14/2015 11:00:00 AM,15-066269,ATTEMPTED BURGLARY,33X,1300 97TH AV,Oakland,CA,"1300 97TH AV
Oakland, CA
(37.744309, -122.172638)"
PETTY THEFT,12/01/2015 01:00:00 AM,15-066550,THEFT,25X,3900 35TH AV,Oakland,CA,"3900 35TH AV
Oakland, CA
(37.79603, -122.19665)"
DOMESTIC VIOLENCE,12/17/2015 08:46:00 PM,15-066685,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,29X,7200 MACARTHUR BLVD,Oakland,CA,"7200 MACARTHUR BLVD
Oakland, CA
(37.76954, -122.172833)"
